"#","Êtes-vous  entreprise, fonction publique, représentant gouvernemental ou institutionnel?
","Pensez-vous que l’IA doit être régulée autant que possible pour protéger les utilisateurs?","Pensez-vous que l’IA doit être régulée le moins possible pour protéger l’innovation?","polis_id","Start Date (UTC)","Submit Date (UTC)"
"67adf43e7de3ed0012eb7058","Entreprise","Oui","Non","0d75710c-9671-40db-ba74-ad979a484cce","2025-02-13T13:30:39.000Z","2025-02-13T13:31:42.000Z"
"67adf4357de3ed0012eb704e","Fonction publique","Oui","Non","dd73aa88-fb85-4095-bde3-843bc88d7798","2025-02-13T13:31:16.000Z","2025-02-13T13:31:33.000Z"
"67adf4357de3ed0012eb704a","Entreprise","Oui","Oui","63a7fb35-ce50-4fbc-a310-46b859c05895","2025-02-13T13:30:54.000Z","2025-02-13T13:31:33.000Z"
"67adf4327de3ed0012eb703a","Entreprise","Non","Oui","1bb559c5-0465-4ec0-8ef5-49908042d117","2025-02-13T13:30:51.000Z","2025-02-13T13:31:30.000Z"
"67adf4317de3ed0012eb7031","Entreprise","Oui","Non","1da61af9-df92-4377-858e-e85d623648d0","2025-02-13T13:30:58.000Z","2025-02-13T13:31:29.000Z"
"67adf42c7de3ed0012eb702d","Fonction publique","Oui","Non","fefd4257-0de6-4ef0-9695-560ec0757fca","2025-02-13T13:31:09.000Z","2025-02-13T13:31:24.000Z"
"67adf4287de3ed0012eb701e","Entreprise","Oui","Non","2c7dfd50-cfb4-4f9c-8b21-ad78a1eb0ff7","2025-02-13T13:31:03.000Z","2025-02-13T13:31:20.000Z"
"67adf4257de3ed0012eb701a","Entreprise","Oui","Oui","af48f798-1ab2-4fc3-b870-8d98e3ccc6a4","2025-02-13T13:30:55.000Z","2025-02-13T13:31:17.000Z"
"67adf4237de3ed0012eb7010","Entreprise","Oui","Non","51af783e-f077-495f-8cb7-9c9cea3891d2","2025-02-13T13:30:53.000Z","2025-02-13T13:31:15.000Z"
"67adf4237de3ed0012eb7007","Entreprise","Oui","Non","a1e65b25-337d-4d2b-af3e-cc2257da4a1a","2025-02-13T13:30:48.000Z","2025-02-13T13:31:15.000Z"
"67adf41b7de3ed0012eb6ff8","Fonction publique","Oui","Non","650a0127-5b97-4432-8c95-058451fe9f67","2025-02-13T13:30:45.000Z","2025-02-13T13:31:07.000Z"
"67adf41a7de3ed0012eb6ff4","Entreprise","Oui","Oui","50f810c9-ef60-46af-9972-ddab09822156","2025-02-13T13:30:46.000Z","2025-02-13T13:31:06.000Z"
"67adf41a7de3ed0012eb6ff0","Fonction publique","Oui","Oui","7eaa9350-11a7-4aac-85b8-8e2c1b509e8a","2025-02-13T13:30:36.000Z","2025-02-13T13:31:06.000Z"
"67adf4197de3ed0012eb6fec","Entreprise","Oui","Non","a29c7263-ddd3-433b-a1fb-92af1aac76c2","2025-02-13T13:30:44.000Z","2025-02-13T13:31:05.000Z"
"67adf4157de3ed0012eb6fdd","Entreprise","Oui","Oui","74887b4d-b07b-4cb4-bd64-5801f0d30abf","2025-02-13T13:30:29.000Z","2025-02-13T13:31:01.000Z"
"67adf4107de3ed0012eb6fd3","Entreprise","Oui","Non","350313a1-fa8b-478d-b682-f979e2a6b8de","2025-02-13T13:30:43.000Z","2025-02-13T13:30:56.000Z"
"67adf40f7de3ed0012eb6fc9","Entreprise","Oui","Non","051eb1d2-ed23-4c58-8e34-aa17011e89b8","2025-02-13T13:30:37.000Z","2025-02-13T13:30:55.000Z"
"67adf40e7de3ed0012eb6fba","Institutionnel","Oui","Non","9c4f85ad-8a2c-41fc-aaed-3548a5c431e8","2025-02-13T13:30:33.000Z","2025-02-13T13:30:54.000Z"
"67adf3ec7de3ed0012eb6f39","Institutionnel","Oui","Non","b939cdb9-faa9-49a5-b1ac-726aeb6174c0","2025-02-13T13:29:58.000Z","2025-02-13T13:30:20.000Z"
"67ade82c7de3ed0012eb6f16","Entreprise","Oui","Non","4b7326b8-6d23-48b2-b416-df2a274caeb8","2025-02-13T12:39:30.000Z","2025-02-13T12:40:12.000Z"
"67adb0877de3ed0012eb6ed5","Entreprise","Non","Non","452d2f4e-7434-4bc0-bb67-fa47b96d9e6e","2025-02-13T08:42:11.000Z","2025-02-13T08:42:47.000Z"
