"user_id","agrees","disagrees","passes","total_votes","statement_text","group_A_agrees","group_A_disagrees","group_A_passes","group_B_agrees","group_B_disagrees","group_B_passes","group_C_agrees","group_C_disagrees","group_C_passes","moderation_status","is_seed"
"","291","142","72","505","New developments should be focused on creating new villages with their own infrastructure.","26","27","17","98","63","25","163","52","30","","false"
"","365","50","47","462","New developments should be climate-proof to meet the needs of future residents.","52","4","7","116","37","25","197","9","15","","false"
"","383","28","33","444","New development must positively restore nature within the plan area,  above legal minimum requirements.","42","18","10","147","5","15","193","5","8","","false"
"","378","29","35","442","New major developments must significantly improve the green infrastructure of the area to above national minimum standards (ie access to multi functional green recreational spaces, better nature areas, public health benefits (eg green walking routes), flood and climate-proofing).","47","13","9","141","12","17","190","4","8","","false"
"","362","53","49","464","New major developments must provide sustainable and significant tree cover over roads and carparks to improve the visual appeal and environmental quality of the area.","33","20","13","131","19","22","196","14","12","","false"
"","304","17","29","350","It is important when building new family homes that catchments to schools and footpaths to walk to school are considered. Many schools are already full and this causes too many to drive to school.","46","6","9","106","9","16","152","2","4","","false"
"","298","85","66","449","Solar farms should not be installed on good agricultural land","19","33","18","138","13","14","140","37","33","","false"
"","321","32","30","383","Solar panels should be installed on community owned buildings","52","3","11","107","18","11","161","11","8","","false"
"","337","7","19","363","The village /town infrastructure capability should always be taken into consideration when increasing the population.","49","4","8","125","3","6","161","0","5","","false"
"","338","39","34","411","New business is required but not at the expense of green belt land. Businesses should be kept in areas to keep residential properties pleasant to view and live in.","27","26","13","152","3","5","158","10","16","","false"
"","276","67","58","401","Give Consideration of where village centres can be pedestrianised to enable seating and community get togethers. Making it easier for all ages to engage with others.","40","11","10","83","39","30","153","17","18","","false"
"","295","48","37","380","Unless children live more than 1 mile from their school, they should be healthy, getting exercise and walk to school.","36","15","12","120","19","16","137","14","9","","false"
"","324","36","40","400","New developments must be accompanied by parking facilities for local shopping and using public transport.","51","6","10","102","22","21","169","8","9","","false"
"","214","36","92","342","Residents and their areas should be priority with business following.","22","14","24","81","15","30","111","7","38","","false"
"","319","50","54","423","Development should attract artisan shop keepers, and small new businesses.","36","9","20","111","28","18","171","13","16","","false"
"","298","18","30","346","Finance is need to improve schools, health care, leisure centre, roads, for the current number of houses","46","4","13","100","12","11","151","2","5","","false"
"","220","141","76","437","The new homes should be one and two bedrooms, well built, energy saving and affordable.","23","20","21","74","61","27","123","59","28","","false"
"","294","13","38","345","It should also cater for the environment of wild life.","41","6","12","124","6","11","129","1","15","","false"
"","314","117","58","489","Car parking areas of the future should provide an open covering to provide shade in the increasing heatwaves, these covered car parks should also be topped with solar panels for electricity local use.","40","19","12","93","62","25","181","36","21","","false"
"","265","34","26","325","More frequent and reliable public transport is required in villages whether or not we build more houses.","42","9","9","91","15","13","132","10","4","","false"
"","225","14","29","268","Small play areas for young children could be included. Government should allow youth clubs for teenagers not close them as they have in the past.","38","4","7","75","9","16","112","1","6","","false"
"","344","92","27","463","Local residents should have the final say regarding new developments.","6","52","9","165","5","4","172","35","13","","false"
"","302","112","39","453","It should not be an option to change ANY green belt land. It should remain greenbelt. If there are not enough houses then close our borders.","4","46","7","150","4","12","147","61","19","","false"
"","51","154","47","252","At least 50% social housing","7","32","12","6","71","15","36","51","20","","false"
"","223","59","51","333","I agree with the idea of new villages, because there is a danger that we could end up in one large urban sprawl which would eventually merge into nearby cities and towns.  These villages should retain their own identity.","31","17","12","70","26","16","119","15","23","","false"
"","283","30","21","334","there has to be a ceiling as how many houses that can be built 
South Staffordshire it is a rural county and we need the countryside","19","26","13","119","0","1","144","4","7","","false"
"","263","27","24","314","Councillors should meet with residents at every stage of a development.","27","18","11","110","1","4","126","8","9","","false"
"","50","128","36","214","there should be AT LEAST 50% of houses for under privileged for a 
housing association to make full use of","8","27","12","8","60","14","33","41","10","","false"
"","102","84","51","237","Finance is needed to improve the roads and health care, not schools and leisure centre","10","23","15","34","31","15","58","30","21","","false"
"","140","147","34","321","No more new houses.","0","46","2","92","17","15","48","84","17","","false"
"","72","56","64","192","Encouraging new business into a village environment will fracture the very fabiric of village life. The roads through these villages are very narrow so is the council thinking of widening the current system, no I think not, therefore I disagree.","6","23","16","34","11","22","31","22","25","","false"
"","88","49","75","212","Solar is only a short term fix. Once the solar panels reach the end of their usable life they cannot currently be recycled. Invest in FUSION or Hydrogen clean fuels and no waste.","8","20","22","42","11","26","38","18","27","","false"
"","241","47","46","334","Efficient and reliable public transport must be provided from when the first residents move into any new development even if that means a service having to be heavily subsidised. It is of no use waiting until the majority of houses are occupied as by then people's travel habits using private cars will have become established and it is very difficult to get them to change. Failure to do this results in even more traffic than at present.","40","10","8","74","22","24","125","15","14","","false"
"","130","116","61","307","We cannot avoid housing development as the population grows but ""not in my back yard"" (nimby) has to be avoided.","44","5","8","21","71","21","65","40","32","","false"
"","202","53","45","300","New developments should prioritise getting people in housing with a garden and access for cars","29","13","11","67","22","21","105","18","12","","false"
"","219","89","60","368","Housing should be affordable but it should not be critical to be a home owner. New council housing to help families get started would be best.","36","12","13","43","61","30","140","16","17","","false"
"","69","56","43","168","Covered car parks are a continental warm climate idea. They will not work in the UK as they will be vandalised, kids jumping on the roofs, graffiti, and moss and grass growing, because Staffordshire council do not carry out manitainance.","10","20","10","35","15","16","24","21","17","","false"
"","44","10","54","108","Current bus services by Select are unreliable and have been so for many years.","8","3","21","16","5","23","20","2","10","","false"
"","306","90","45","441","If you build there is less space for everyone including wildlife and we reduce our ability to be self sufficient in food.","1","49","13","152","2","9","151","39","23","","false"
"","126","88","70","284","No new developments - then no need for additional parking, besides where are you going to put a new car park in a village?","0","40","11","71","8","22","55","40","36","","false"
"","99","141","54","294","No need for climate proofing and we don't want new developments.","1","44","6","75","26","23","22","71","24","","false"
"","241","10","12","263","New housing should be accompanied by expansion in school places, medical services, public transport and road infrastructure","45","3","3","89","5","8","107","2","1","","false"
"","208","49","68","325","As we have a lot of canal in the area, canal boats should be recognised as homes so access to services is more available to boat dwellers","27","13","16","70","23","26","110","13","26","","false"
"","285","37","27","349","I do not agree with more houses until existing infrastructure is IMPROVED and roads fixed properly","19","28","11","118","1","8","148","7","7","","false"
"","221","16","31","268","Public footpaths and canal tow paths should have measures to prevent or discourage anti-social, fast cycling on push bikes and particularly motorised bikes, while not hindering responsible cyclists, mobility vehicles and pushchairs","33","6","12","79","8","12","109","2","7","","false"
"","272","29","35","336","New housing developments over a minimum size should include safe spaces and equipment for children to play","47","3","8","77","20","21","147","6","6","","false"
"","249","19","34","302","Improve existing areas first please","23","14","19","100","3","8","122","2","7","","false"
"","274","43","33","350","No new housing until existing infrastructure has been improved to the level that more than needed by existing housing , to allow for growth of the area","18","20","14","115","11","10","139","12","9","","false"
"","232","48","50","330","Affordable electric vehicle charging points should be provided close to flats and housing that does not have space to have their own charging points. Prices should be in line with what people pay for electric vehicle charging on their own property, otherwise people living in flats are being disadvantaged.","41","6","13","62","29","25","128","12","11","","false"
"","249","1","11","261","When a company is permitted to dig up a road, they should be required to relay the road surface to a high quality. If it disintegrates within a certain minimum time, they should be required to relay the surface again for free and/or be fined the cost of closing the road and relaying.","40","1","7","99","0","2","110","0","2","","false"
"","168","20","36","224","Public libraries should be run by the council","27","5","12","64","8","13","76","7","11","","false"
"","84","31","52","167","There should be an environmentally friendly funeral process available in the area","15","9","18","27","17","21","42","5","13","","false"
"","69","52","39","160","There should be redistribution of wealth such that there is no need for food banks and no child goes hungry","20","11","8","17","24","18","32","17","13","","false"
"","226","95","55","376","The unnecessary construction of these new developments creates the public transport issue","7","44","7","103","16","20","115","35","28","","false"
"","156","30","53","239","Greater consideration should be given to allowing disabled people to build a home that meets their specific needs, particularly where the land has been in their family’s ownership for generations.","27","5","18","56","16","17","73","9","18","","false"
"","233","9","13","255","New developments should only be allowed with a suitable infrastructure including schools, shops, public transport, and suitable off road parking","43","6","3","77","3","6","112","0","4","","false"
"","173","97","47","317","At least 25% of new build accommodation should be available for social housing. This would deter people moving out of South Staffordshire solely to seek affordable housing.","30","13","10","29","62","21","113","22","16","","false"
"","200","13","29","242","Has anyone thought about smaller buses.  The ones we have at the moment seem to be the same as the ones used in large towns. It must be expensive to run and maintain these.  They are not always full and run infrequently.  There needs to be regular buses to villages that people can rely on and therefor less reliant on cars","36","2","12","64","4","11","100","6","6","","false"
"","48","97","34","179","Children will not play in these green spaces unless with parents as it is unsafe to do so. So building with green spaces is a waste of time and money, therefore do not build to start with.","6","31","7","24","26","13","18","40","14","","false"
"","68","91","56","215","Highly unlikely in South Staffs people living in flats could afford an EV. This is not London, so the question is not realistic. There is enough EV charging points at filling stations, pubs, and supermarkets.","5","26","16","32","19","18","30","46","22","","false"
"","289","57","40","386","The planning process should allow for easier ways to protest against applications. Currently this is difficult because authorities need to fulfill government quotas","12","35","10","132","5","8","143","17","22","","false"
"","24","25","39","88","Canal boat owners could be classed as displaced people as they can move on at a minuites notice, so the council has made all these provisions and wasted tax payers money again.","6","9","13","7","8","16","11","8","10","","false"
"","197","14","33","244","Our roads are blighted with pot holes. The introduction of bus routes on unsuitable residential streets with less than 50mm substrate has decimated local roads and devalued properties. If your going to have a bus route ensure the street is properly surfaced first.","32","5","13","75","4","12","89","5","8","","false"
"","199","12","21","232","We need to ensure there is adequate provision for our aging population, This can be a mix of purpose built small communities and homes within new builds. This will allow those who want to remain local to do so and those that want to join a like community to do that.","39","3","5","68","6","10","91","3","6","","false"
"","186","24","27","237","We need to ensure there is plenty of smaller and cheaper accommodation mixed into new builds to allow younger people to get a foothold on the housing ladder.","39","2","5","58","18","15","88","4","6","","false"
"","179","4","22","205","New build areas should include proper provision for walking, cycling, motoring and public transport.","40","1","2","68","2","14","71","1","6","","false"
"","120","18","39","177","New properties should include provision for adequate parking of vehicles. Those for single people should have one parking space, small starter homes should have 50% of them having 2 spaces with family homes having 2 spaces and again some having 3 spaces and larger family homes at least 3 spaces.
This will allow enough space for current vehicle use.","27","5","11","41","6","19","52","7","9","","false"
"","141","45","37","223","New properties of all sizes should have electric car charging points accessible with their parking spaces.","33","6","9","41","23","20","67","16","8","","false"
"","155","20","45","220","New estates should have all mains services easily accessible to the companies. This may mean running them through, say underground tunnels, with regular access points.
This would cost more initially, but reduce future maintenance costs, and allow additions to be made to areas without the constant digging up of roads and pavements.","24","12","12","58","5","19","72","3","14","","false"
"","167","18","27","212","The council should prioritise brownfield sites, followed by bringing unlived in properties back into use and then green belt land for development.","29","6","6","61","8","13","77","4","8","","false"
"","104","58","38","200","Cycleways should be promoted separately from bridlepaths","18","15","9","36","24","18","50","19","10","","false"
"","90","75","34","199","Bridleways should be separate as horses make footpaths inaccessible in muddy conditions","16","18","8","37","24","17","37","33","9","","false"
"","163","8","23","194","Elderly people homes should be well designed for health eventualities. Shower rooms open plan living to enable easy movement of wheelchair or walkers and easy access with support handles already in place.","36","1","5","53","5","12","73","2","6","","false"
"","220","76","34","330","New developments should be around large towns - leave our villages as villages  as they provide character to the county","3","45","8","118","5","6","98","26","20","","false"
"","235","45","29","309","South Staffs has become a motorway corridor and needs to preserve existing villages to retain some character in the county. All new housing should be on brownfield land in and around the cities and towns.","8","29","14","109","1","1","117","15","14","","false"
"","278","86","32","396","New developments should only be allowed with local residents agreement. This should be enhanced in law.","3","44","6","140","3","7","132","39","19","","false"
"","228","25","13","266","Green belt should absolutely be the last resort, far too often derelict unused land is left under utilised","18","21","7","105","2","3","105","2","3","","false"
"","198","68","47","313","South Staffordshire contains alot of rural villages. Residents should be able to set the maximum for any residential development size of number of houses as well the overall capacity the village can take over the plan period. Example Trysull max 5 houses per development and total of 15 houses in plan period.","5","37","9","103","6","16","89","25","21","","false"
"","116","18","40","174","Climate proof should not mean off setting, buying carbon credits. It should mean actually, physically reducing carbon as well as other waste products and having capture as well as responsible disposal, or captured storage.","26","6","6","41","7","21","48","5","13","","false"
"","43","72","27","142","New developments should prioritise getting people in housing with a garden however not all properties require access for cars, as not everyone owns a private vehicle.","8","20","5","12","29","14","22","23","8","","false"
"","142","41","34","217","The local community who have lived here all their lives must be prioritised for housing, jobs, schools and healthcare.","17","15","5","61","9","15","64","17","14","","false"
"","173","14","26","213","We do not need more out of village businesses such as burger shops and barbers that do not support employment of the local community.","17","6","11","85","3","8","71","5","7","","false"
"","171","26","31","228","A broad range of residential accommodation is required to accommodate the needs of the district, both young and old.","40","1","3","48","22","22","83","3","6","","false"
"","161","24","27","212","Growth should be proportionally spread","29","9","6","58","10","14","74","4","7","","false"
"","155","16","31","202","Walking is mentioned - we need more pavements/space along roads to walk safely, this is impossible along the A449 in many places.","23","4","11","63","9","10","69","3","10","","false"
"","133","11","33","177","There will always be vehicles - whether personal or communal so there should be sufficient space for them to be parked to individual premises and for shops and also the roads need to be wide enough for them to pass safely and not possibly collide with each other, as happens around and in Kinver. More traffic means more road surface erosion and more maintenance costs - that should be thought about too..","27","3","12","46","5","16","58","3","5","","false"
"","156","10","27","193","'Planning policies and decisions should protect and enhance public rights of way and access' (NPPF, para 105), so conditions should be made on developments to connect existing off-road paths to protect and improve safe access for all vulnerable road users (walkers, wheelers, horses and riders/handlers).","29","3","7","59","5","15","68","2","5","","false"
"","135","17","38","190","Infrastructure and transport plans must include road crossings (underpass, overbridge or at level) where new or existing off-road access is impacted for all vulnerable road users (walkers, wheelers, horses and riders/handlers).","23","5","12","54","10","19","57","2","7","","false"
"","172","11","16","199","New developments should not be built on flood zones. Planning permission should ONLY BE GIVEN with this enhanced in law. Councils should be forced to follow this to the letter.","32","6","5","68","3","7","72","2","4","","false"
"","131","14","34","179","The play parks need to be updated to allow children with disabilities to access them","24","2","9","42","8","16","65","4","9","","false"
"","124","34","35","193","Funding to be given to the community centres to offer activities for vulnerable children and those with SEND","31","6","6","33","23","14","60","5","15","","false"
"","167","23","24","214","There is a need for more housing but it should be Eco Friendly and there should be areas of green where wildlife can exist","30","6","5","59","12","12","78","5","7","","false"
"","188","27","40","255","Grey belt should not be classified on farmland that is providing food.","16","18","12","86","3","11","85","6","16","","false"
"","167","38","26","231","Existing infrastructure and facilities should be able to accommodate any new developments","23","10","9","56","14","12","88","14","5","","false"
"","18","51","35","104","Individual homes are space consuming and expensive to build per m2. Build homes with 5 -10 apartments","3","18","10","4","22","11","11","11","14","","false"
"","205","9","11","225","More housing means more people, more need for school, more need for GP’s, better infrastructure in terms of water / energy supply etc","36","2","4","79","2","5","90","5","2","","false"
"","44","56","36","136","Attracting tourists brings more problems. More cars, more parking requirements, more people etc.","3","16","14","24","19","11","16","21","11","","false"
"","161","16","30","207","Currently the infrastructure around south staffs is not designed to deal with more people, cars etc. Roads look like in East Ukraine, traffic jams in a village?! Insufficient schools and other facilities","19","11","11","67","1","11","75","4","8","","false"
"","175","17","28","220","Encourage to develop the area so people, families, children can walk or cycle safely around.","36","3","4","54","14","16","85","0","7","","false"
"","88","55","38","181","Become environmentally independent from fossil fuel.","23","7","8","18","32","21","47","16","9","","false"
"","121","23","41","185","Tackle noise pollution (from cars and very noisy bikes)","23","7","10","43","10","21","55","6","10","","false"
"","112","15","27","154","Better train network to nearby cities","25","4","8","47","6","9","40","5","10","","false"
"","73","66","46","185","The current designation of Green Belt land needs to be re‑examined in the context of the housing crisis, particularly where large areas labelled as ‘Green Belt’ are in fact agricultural fields or long‑established garden extensions to homes that have stood for decades. Much of this land—especially the tracts wedged between the M6 and the A449—does not reflect the true purpose of Green Belt policy.","26","2","10","15","40","20","32","24","16","","false"
"","58","90","37","185","Reassessing Green Belt areas could help families keep disabled relatives close by, in homes designed to meet their specific needs.","26","3","11","9","51","12","22","35","14","","false"
"","159","24","28","211","Solar infrastructure on public building should be mandatory and discounted for domestic use.","30","3","6","55","12","14","74","9","8","","false"
"","101","53","32","186","Solar farms should be explored in combination with agrivoltaics to provide additional income for farmers as well as balancing the energy grid.","24","6","5","30","29","18","47","18","9","","false"
"","134","24","33","191","Affordable and spacious bungalows. All too often living space is compromised to allow for more homes on the property/estates etc","23","5","9","53","10","15","58","9","9","","false"
"","136","58","47","241","I would not welcome any form of large business as it brings ugly clad buildings. Just look at the mess of the buildings at the Midland rail interchange, Staffordshire changed the landscape from pleasant to ugly.","6","26","9","65","3","18","65","29","19","","false"
"","226","16","11","253","South Staffordshire’s rural character is exactly what makes it desirable, and it must be protected.","26","12","7","101","0","1","98","4","3","","false"
"","213","32","34","279","The A41 and our village roads are already over capacity and in poor condition, so further large-scale development here is not sustainable. Any future growth should be limited to small, sensitive developments on brownfield land only, not expansion into the countryside that cannot support more traffic","12","22","12","97","2","10","104","8","12","","false"
"","42","49","32","123","If South Staffs was a tourist area then there would be B&Bs, self catering accommodation and hotels lining the streets. Somerset has a good balance. Currently nobody wants to come to South Staffordshireas it has nothing to offer.","7","15","12","15","21","9","20","13","11","","false"
"","24","67","24","115","Widen roads using existing foot paths to improve road safety","5","19","9","6","27","10","13","21","5","","false"
"","201","5","17","223","New development should blend in to the surrounding environment.","37","1","4","77","3","6","87","1","6","","false"
"","142","45","33","220","Building 4 bed homes is not the priority we should be building starter homes 2 or 3 bed modern versions of terrace homes.  These would give greater number of new homes to land available.  Avoiding building on more land than necessary","19","11","9","46","28","13","77","6","11","","false"
"","191","3","11","205","The state of the roads needs to be addressed. The pot holes everywhere are awful. Cars are getting damaged and they are causing accidents. Priority needs to be on fixing the roads to make them safe again","34","2","3","74","1","5","83","0","3","","false"
"","149","25","27","201","Empty houses in villages, both private and council owned should have pressures put on to be occupied at all times.","28","7","4","52","9","10","69","9","13","","false"
"","111","25","48","184","The Village centre needs to be considered FIRST when looking at increasing the size of a village - the village is lost now for Kinver due to too much inconsiderate house building and not enough thought on existing residents","3","20","13","51","0","16","57","5","18","","false"
"","86","30","33","149","What we need is a good local parking site to encourage people to use the High Street as a long walk puts people off","21","4","10","26","18","13","39","8","10","","false"
"","54","8","52","114","What we need is better health facilities locally without having to travel to Kingswinford.","9","4","19","20","2","17","25","2","16","","false"
"","91","73","41","205","If there is an increase in people moving to South Staffordshire, crime rates will surely rise","3","35","4","52","11","15","36","27","22","","false"
"","160","5","26","191","Improve parks and outdoor recreational spaces.","29","2","6","55","1","12","75","2","7","","false"
"","142","7","26","175","Improve the countryside walks and the bridle paths.","22","4","11","58","1","4","62","2","11","","false"
"","50","40","25","115","Don’t make footpaths into bridleways as they would be dangerous for walkers","12","15","8","15","10","10","23","14","7","","false"
"","98","15","34","147","Stronger local leadership would be better for small communities","12","5","17","42","6","12","44","4","5","","false"
"","30","19","42","91","If local government wishes to oppose privately or professionally, to local developments, they should propose equivalent acreage with equivalent access and facilities. If they cannot, they need to shut up.","5","10","14","9","5","18","16","4","10","","false"
"","168","5","13","186","Councils need to understand village identity.","29","2","10","64","0","1","75","3","2","","false"
"","49","28","30","107","Mobility products that can assist in people’s homes should be considered before building new bungalows as bungalows historically take up a larger footprint.","11","9","11","16","8","13","22","11","6","","false"
"","127","29","30","186","People shouldn’t be forced out of their current homes for which they may have had many memories of raising children","16","10","10","52","11","13","59","8","7","","false"
"","188","7","13","208","Parks and open spaces should be made safe for children to enjoy.","35","0","4","67","4","7","85","3","2","","false"
"","84","18","37","139","There should be more incentives to start a small business. At the moment they go bust in under 12 months and leave buildings derelict, which is an eye sore.","16","6","11","32","7","14","36","5","12","","false"
"","121","1","37","159","Care homes should be more like they are in France: unbelievably good with respect and care.","22","0","10","51","1","17","48","0","10","","false"
"","50","24","39","113","New home owners should do their own decoration. Frills like full carpets, light fittings and being  painted and decorated should not be expected if someone wants an affordable home.","11","7","14","16","4","19","23","13","6","","false"
"","92","24","36","152","The streets should be safe for children. Currently they are unsafe from passing traffic and undesirables wondering about. In these times I would not let my child walk to school, especially in winter in the dark.","12","9","11","38","7","14","42","8","11","","false"
"","146","24","22","192","Adequate parking must be allowed for blue badges to ensure that disabled people are not excluded if places are pedestrianised.","29","6","7","47","11","13","69","7","2","","false"
"","102","41","25","168","I would support new development in the area if it was based on clear, justifiable need (e.g. a lack of housing, appropriate size for needs etc.), was small in scope, liveable (i.e. not skimping on off-road parking, thereby creating problems for everyone nearby).","23","7","5","21","26","15","58","8","5","","false"
"","122","16","25","163","Adequate parking should exist for blue badge holders to reduce dangerous parking in inappropriate places such as blocking visibility, at junctions/on bends etc.","26","4","6","41","7","13","55","5","6","","false"
"","109","17","24","150","Councils should take advantage of powers to impose parking restrictions and enforce fines on people who people whose inconsiderate parking adversely effects people who live there. e.g. a cul-de-sac too narrow to have two cars pass each other should not be overrun by parents on the school run, preventing residents from exiting or accessing their drive.","23","1","7","38","11","9","48","5","8","","false"
"","103","15","34","152","Provide sufficient school places closer to where people live, to reduce the impact of parents driving children to school. Parking is particularly a problem not just because because of the number of vehicles but their size - hatchbacks don't exist any more, it seems - it's just humungous SUVs which due to their size, reduce the no of vehicles that can be parked in any one place. The answer has to be for fewer parents to drive children, and that means closer, and possibly smaller, schools.","20","2","9","36","10","19","46","3","6","","false"
"","202","23","14","239","South Staffordshire should not take on housing quotas for neighbouring counties","19","16","7","88","0","1","94","6","6","","false"
"","142","5","21","168","Given the need for employment it is increasingly important to ensure the sustainability of villages/towns","28","1","2","48","3","13","64","1","6","","false"
"","146","6","21","173","We should pay attention to existing infrastructure, such as canal bridges, where we are now beginning to see issues.","27","4","6","58","1","9","60","1","6","","false"
"","24","27","31","82","Local villages need more affordable 3/4 bedroom houses provided by the Council","7","6","12","5","12","13","11","9","6","","false"
"","78","25","43","146","The Council should not permit new development that stops families being able to attend old graves","8","11","13","39","6","14","30","8","16","","false"
"","200","39","14","253","New development should not result in Villages merging or getting closer together","13","28","2","91","3","3","96","8","9","","false"
"","19","45","25","89","Currently we have sufficient facilities for our children, because as technology advances children don't play out as it's unsafe, so they stay by their parents and use electronic devices. Safer option all round.","3","18","7","6","12","11","9","15","6","","false"
"","118","28","34","180","The Council should give people a real say, unlike this questionnaire.","8","17","10","58","6","8","52","5","15","","false"
"","30","15","42","87","Carbon makes up .4% of the air we breath. I would stop cloud seeding which adds toxins into the air and tries to reduce sun light.","5","5","14","9","5","17","16","5","11","","false"
"","73","75","28","176","Solar panels should only be allowed on rooftops or alongside motorways, runways.","4","26","6","35","16","12","34","32","10","","false"
"","64","43","41","148","I will NEVER be so stupid to rely on an electric car. When grid gets down, how can they be charged. They stopworking in extreme heat or extreme cold. They can be tampered with as computerised. I do not wish to sit at a public charging point waiting for my car to be ready to drive. Hybrid are far more reliable.","6","18","9","29","14","21","29","11","11","","false"
